,Year,State,BEV sales,PHEV sales,Total,Gasoline Price,Median Income,Population,Renewable Energy Use,Total Energy Use,Transportation Energy Use,Stations Opened,Lithium Price
0,2011,AR,2,20,22,3.363,23039,2941038,124987,47928,284546,18,946
11,2012,AR,8,111,119,3.416,23882,2952876,114237,46860,275070,,744
22,2013,AR,24,74,98,3.299,23435,2960459,121335,46683,273950,8,684
33,2014,AR,41,78,119,3.136,22786,2968759,119830,47080,277631,4,606
44,2015,AR,30,46,76,2.164,21433,2979732,117840,46465,275130,2,393
55,2016,AR,44,94,138,1.915,20172,2991815,115418,46188,281967,9,302
66,2017,AR,72,115,187,2.179,18827,3003855,116688,46086,283888,6,226
77,2018,AR,260,175,435,2.446,18730,3012161,126114,49603,284863,25,185
3,2011,IA,2,47,49,3.496,28663,3066772,668883,45655,307194,18,946
14,2012,IA,49,292,341,3.566,28743,3076844,677166,45709,291495,12,744
25,2013,IA,81,238,319,3.468,28553,3093935,703984,46705,296967,3,684
36,2014,IA,64,169,233,3.303,27288,3110643,724522,47202,307946,5,606
47,2015,IA,62,165,227,2.339,26265,3122541,762986,47147,299690,15,393
58,2016,IA,80,200,280,2.056,24305,3133210,796545,48431,316329,13,302
69,2017,IA,133,300,433,2.311,22190,3143734,830271,48922,301406,13,226
80,2018,IA,483,434,917,2.596,22459,3149900,857377,51211,304162,18,185
1,2011,IL,69,259,328,3.496,32857,12867783,313512,142886,985537,11,946
12,2012,IL,371,1239,1610,3.566,31551,12883029,325082,143540,953332,91,744
23,2013,IL,1482,1052,2534,3.468,31884,12895778,355226,141805,971209,45,684
34,2014,IL,1033,1059,2092,3.303,32542,12885092,367756,141540,999845,39,606
45,2015,IL,1325,729,2054,2.339,31300,12859585,353832,138620,1036075,57,393
56,2016,IL,1522,1166,2688,2.056,29524,12821709,372881,141050,1033118,46,302
67,2017,IL,2380,1432,3812,2.311,27084,12779893,375921,137196,1037119,58,226
78,2018,IL,5428,1929,7357,2.596,26511,12724685,356868,142655,1037794,67,185
2,2011,IN,5,89,94,3.496,29475,6517250,222942,105818,581270,5,946
13,2012,IN,90,278,368,3.566,28530,6538989,197464,105173,569694,38,744
24,2013,IN,204,344,548,3.468,27089,6570575,213409,105487,596864,12,684
35,2014,IN,288,409,697,3.303,26928,6596019,226334,106943,609528,15,606
46,2015,IN,245,455,700,2.339,25898,6611442,241104,104515,611804,15,393
57,2016,IN,275,396,671,2.056,26293,6637898,255972,103705,609662,21,302
68,2017,IN,437,496,933,2.311,22519,6662068,258568,98966,584850,22,226
79,2018,IN,1367,669,2036,2.596,22728,6698481,268948,104194,574822,43,185
4,2011,LA,2,25,27,3.363,26312,4576244,112139,86369,622556,3,946
15,2012,LA,36,136,172,3.416,25439,4602067,109589,84731,564410,25,744
26,2013,LA,73,67,140,3.299,25299,4626040,126191,85808,550152,2,684
37,2014,LA,71,85,156,3.136,22405,4645938,149561,90628,527984,5,606
48,2015,LA,78,64,142,2.164,22861,4666998,132249,91676,534889,6,393
59,2016,LA,110,160,270,1.915,20497,4681346,154742,91453,567610,18,302
70,2017,LA,123,160,283,2.179,21349,4673673,142085,91206,611866,18,226
81,2018,LA,392,221,613,2.446,20890,4664450,143244,94186,578848,23,185
5,2011,MI,18,517,535,3.496,32662,9883053,162105,105054,736892,42,946
16,2012,MI,126,1860,1986,3.566,32267,9898289,162394,104818,725628,37,744
27,2013,MI,368,2244,2612,3.468,32117,9914802,188635,103038,756667,13,684
38,2014,MI,249,2651,2900,3.303,29937,9932033,202485,103314,748586,27,606
49,2015,MI,300,1306,1606,2.339,30775,9934483,222957,102480,770712,26,393
60,2016,MI,295,2187,2482,2.056,29472,9954117,216292,104468,779443,35,302
71,2017,MI,738,2004,2742,2.311,27702,9976752,225338,101899,767838,33,226
82,2018,MI,1623,1948,3571,2.596,26605,9987286,236433,104869,790737,65,185
6,2011,MN,9,336,345,3.496,33682,5346620,310099,68533,458085,22,946
17,2012,MN,113,1092,1205,3.566,30981,5377500,306238,67989,465948,21,744
28,2013,MN,274,551,825,3.468,29479,5414722,305495,68644,469614,30,684
39,2014,MN,258,341,599,3.303,31465,5452665,339733,68719,471826,33,606
50,2015,MN,294,243,537,2.339,30185,5484002,344806,66579,471947,30,393
61,2016,MN,554,529,1083,2.056,29087,5525360,349766,66546,495770,30,302
72,2017,MN,738,660,1398,2.311,28082,5569283,361559,67153,498582,30,226
83,2018,MN,1866,987,2853,2.596,26443,5608762,364063,68708,498716,58,185
8,2011,MO,1,85,86,3.496,28682,6011182,103120,84255,563706,16,946
19,2012,MO,123,358,481,3.566,27361,6026027,91813,82435,544525,10,744
30,2013,MO,291,325,616,3.468,27926,6042989,109991,83407,549433,5,684
41,2014,MO,256,427,683,3.303,27332,6059130,112955,83878,558250,4,606
52,2015,MO,275,247,522,2.339,26497,6075411,105367,81504,558486,48,393
63,2016,MO,472,398,870,2.056,23443,6091384,105508,78618,569641,56,302
74,2017,MO,610,540,1150,2.311,23720,6111382,116362,76461,565686,109,226
85,2018,MO,1523,745,2268,2.596,21925,6125986,130773,82056,566088,28,185
7,2011,MS,2,10,12,3.363,22191,2979147,66403,49338,321859,,946
18,2012,MS,21,58,79,3.416,20570,2984599,79602,48388,347785,23,744
29,2013,MS,11,40,51,3.299,19475,2989839,64706,48782,315053,,684
40,2014,MS,13,24,37,3.136,20178,2991892,64569,49409,318559,,606
51,2015,MS,13,28,41,2.164,19917,2990231,60390,48692,334237,3,393
62,2016,MS,27,43,70,1.915,18166,2990595,78068,49050,340739,7,302
73,2017,MS,54,74,128,2.179,18513,2990674,70950,47829,333442,13,226
84,2018,MS,113,118,231,2.446,16513,2982879,76541,50390,335769,13,185
9,2011,ND,1,11,12,3.496,28118,685526,132334,13737,112880,,946
20,2012,ND,2,33,35,3.566,26959,702227,127540,14717,129119,2,744
31,2013,ND,6,15,21,3.468,25892,723149,125285,16033,134047,,684
42,2014,ND,5,19,24,3.303,25264,738736,138233,18240,144247,,606
53,2015,ND,6,19,25,2.339,25229,755537,141393,18129,133107,2,393
64,2016,ND,14,26,40,2.056,24092,756114,162091,18520,120536,,302
75,2017,ND,16,23,39,2.311,22576,756755,211258,20140,129269,3,226
86,2018,ND,50,45,95,2.596,21508,760062,208200,20670,136198,9,185
10,2011,WI,2,91,93,3.496,31766,5705840,208301,68612,420456,27,946
21,2012,WI,98,538,636,3.566,33308,5720825,199588,68820,418959,45,744
32,2013,WI,207,416,623,3.468,31133,5738012,206192,69124,416071,15,684
43,2014,WI,191,435,626,3.303,30711,5753199,216236,69495,445797,38,606
54,2015,WI,693,290,983,2.339,29123,5762927,223327,68699,440631,50,393
65,2016,WI,1317,461,1778,2.056,29575,5775170,223484,69736,437596,23,302
76,2017,WI,912,664,1576,2.311,26369,5793147,223178,69079,431285,21,226
87,2018,WI,1168,788,1956,2.596,26430,5809319,230846,70960,456953,28,185
